[21:56:11] [INFO] received Windows console close event; shutting log-core down
[21:56:33] [INFO] received Windows console close event; shutting log-core down
[21:57:11] [INFO] received Windows console close event; shutting log-core down
[21:58:52] [INFO] received Windows console close event; shutting log-core down
[22:03:59] [INFO] received Windows console close event; shutting log-core down
[22:05:07] [INFO] received Windows console close event; shutting log-core down
[22:06:43] [INFO] received Windows console close event; shutting log-core down
[22:15:42] [INFO] received Windows console close event; shutting log-core down
[22:20:52] [INFO] received Windows console close event; shutting log-core down
[22:25:56] [INFO] received Windows console close event; shutting log-core down
[22:30:46] [INFO] received Windows console close event; shutting log-core down
[22:41:55] [INFO] received Windows console close event; shutting log-core down
[01:03:08] [INFO] received Windows console close event; shutting log-core down
[01:20:49] [INFO] received Windows console close event; shutting log-core down
[01:26:01] [INFO] received Windows console close event; shutting log-core down
[01:28:10] [INFO] received Windows console close event; shutting log-core down
[01:40:43] [INFO] received Windows console close event; shutting log-core down
